,icon,precipIntensity,temperature,windSpeed,visibility,nyc_time,year,month,day,hour
259,partly-cloudy,0.0,1.7055555555555557,1.71,9.997,11/01/2015 19:00,2015,1,11,19
260,cloudy,0.0,1.7055555555555557,1.67,9.997,11/01/2015 20:00,2015,1,11,20
261,cloudy,0.0,1.0999999999999983,5.82,9.997,11/01/2015 21:00,2015,1,11,21
262,partly-cloudy,0.0,0.5944444444444446,0.0,9.997,11/01/2015 22:00,2015,1,11,22
263,cloudy,0.0,1.0999999999999983,4.69,9.997,11/01/2015 23:00,2015,1,11,23
264,cloudy,0.0,1.7055555555555557,4.69,9.997,12/01/2015 00:00,2015,1,12,0
265,cloudy,0.0,1.0999999999999983,0.0,9.997,12/01/2015 01:00,2015,1,12,1
266,cloudy,0.0,1.7055555555555557,0.87,9.997,12/01/2015 02:00,2015,1,12,2
267,cloudy,0.0,1.7055555555555557,1.07,9.997,12/01/2015 03:00,2015,1,12,3
268,cloudy,0.0,1.0999999999999983,1.49,9.997,12/01/2015 04:00,2015,1,12,4
269,cloudy,0.0,1.0999999999999983,1.49,9.997,12/01/2015 05:00,2015,1,12,5
270,cloudy,0.0,1.7055555555555557,1.44,9.997,12/01/2015 06:00,2015,1,12,6
271,cloudy,0.0,1.0999999999999983,4.69,9.997,12/01/2015 07:00,2015,1,12,7
272,cloudy,0.0,1.7055555555555557,1.42,9.997,12/01/2015 08:00,2015,1,12,8
273,rain,0.0118,0.5944444444444446,1.9,4.069,12/01/2015 09:00,2015,1,12,9
274,rain,0.0157,1.0999999999999983,1.23,3.002,12/01/2015 10:00,2015,1,12,10
275,rain,0.0256,1.0999999999999983,0.66,2.5,12/01/2015 11:00,2015,1,12,11
276,rain,0.0296,1.0999999999999983,0.94,1.498,12/01/2015 12:00,2015,1,12,12
277,rain,0.071,1.7055555555555557,1.26,1.498,12/01/2015 13:00,2015,1,12,13
278,rain,0.0551,1.7055555555555557,0.0,1.498,12/01/2015 14:00,2015,1,12,14
279,rain,0.0472,2.205555555555555,0.0,2.0,12/01/2015 15:00,2015,1,12,15
280,rain,0.0256,2.205555555555555,0.0,2.0,12/01/2015 16:00,2015,1,12,16
281,rain,0.0059,2.205555555555555,0.59,3.002,12/01/2015 17:00,2015,1,12,17
282,cloudy,0.0,3.2944444444444443,1.01,3.002,12/01/2015 18:00,2015,1,12,18
283,cloudy,0.0,3.2944444444444443,0.98,5.596,12/01/2015 19:00,2015,1,12,19
284,cloudy,0.0,3.1611111111111097,1.88,9.997,12/01/2015 20:00,2015,1,12,20
285,cloudy,0.0,3.2944444444444443,1.66,9.997,12/01/2015 21:00,2015,1,12,21
